city, ccnumber, name, publish_date
Terjawhu,341206316864165,Nathan Stanley,09/30/1996
Hewaaho,348994864391540,Bettie McDonald,02/27/2035
Elorek,4507041929722654,Paul Ramirez,09/15/2055
Makwopfez,4026393606574219,Margaret Gilbert,12/01/1963
Zazkutes,6378595189111230,Floyd Gilbert,06/19/1955
Jazagfo,5018183376776038,Ann Holt,02/09/2001
Sofpeef,5610765774501372,Louise Harrison,07/27/2003
Zaepulab,6304665936369792,Lettie Bishop,06/13/1936
Zaraazi,5172523988012037,Eric Williamson,09/21/2023
Wetijanik,30074212361140,Eunice Gross,03/21/2026
Weepazaf,6334412443694949,Theodore Cohen,09/11/2017
Imbeez,5195940015927487,Hallie Moore,01/12/2021
Usajsig,5186528625588624,Susie Sullivan,03/01/1920
Jamemuh,201422811430035,Hunter Kim,08/22/1903
Tufuwite,6011398972316998,Ruby Thomas,05/26/1923
Nerzisu,6372598835252636,Lucille Carpenter,10/26/2056
Mofaluhaf,36480235461664,Gene Hodges,05/08/2069
Gukwiwto,201444631857650,Jim Hamilton,09/03/2047
Nibkaumo,201481487540618,Olivia Hansen,05/31/2067
Uhujorhep,6378924858461793,Kenneth Ryan,02/22/1993
Rubezi,6011695040270523,Ann Grant,07/10/1960
Lowtoko,5407282066169188,Eliza Lynch,07/11/2010
Sulesus,6304611498590078,Carl Mason,12/27/2059
Fetrebgij,6304142081019317,Lora Coleman,05/08/2024
Ijrizfot,5610997764469761,Sophia Hale,07/20/2023
Gatavwos,5435810208534012,Jay Hogan,06/02/1916
Fekrazen,6334685237640190,Annie Saunders,07/29/1907
Henoaka,30042211045196,Susie Harmon,09/10/1942
Opawupco,201462867416306,Joel Lynch,02/26/1939
Mupawat,6304963855492459,Ralph Waters,03/29/2069
Geirwav,4026652697811636,Lou Chapman,10/20/1980
Kegmeipe,3528971984228865,Cecilia Mills,03/24/1986
Dervowok,36558339930914,Edith Sherman,11/28/1979
Ertemuvo,3528934153076044,Samuel Hamilton,06/19/2026
Ivedeknug,201462574124797,Max Ford,11/22/1989
Cowgirtan,6334784535561438,Lilly Cannon,04/04/2051
Gemeske,5479926241267175,Chris Clarke,11/09/1981
Oknozvu,5472995511153115,Nelle Lloyd,11/03/2070
Suczolcav,4026779664032290,Stanley Phillips,07/17/1930
Huvzene,4026059361143751,Caroline Chambers,06/14/2049
Zugtunla,4361320501140286,Zachary Carson,04/24/1921
Asiegewur,5018905712138568,Augusta Sanders,12/19/2029
Josovhi,6011844226637473,Zachary Rice,04/09/1981
Novejlaw,6011417860963180,Clayton Johnston,08/27/1928
Zeheum,4026506710788264,Nelle Johnson,07/20/1974
Tetokvov,30063545804157,Mamie Gill,10/09/1962
Juljoow,201494848545341,Francisco Robertson,06/24/1981
Bazenwih,6011287452996314,Hattie Herrera,01/29/2060
Canaliv,6334665610736765,Philip Williamson,04/03/1954
Puvjihuj,30034990503412,Minnie Roberson,12/15/2025
Zosevuju,6378166979220480,Alice Clayton,12/24/1945
Pehagoc,5610550856530659,Thomas Wagner,11/26/1944
Zunucof,6334794485455549,Wayne Watson,10/17/2057
Olebagwar,3528431467632505,Gordon Watts,12/25/1930
Vaohnew,5485629019111037,Vera Leonard,12/12/1937
Pihzoas,6334053025539712,Roy Fowler,01/12/1975
Temcuju,36079872675329,Lewis Anderson,07/27/1950
Dormiujo,5018789158028933,Winifred Gordon,12/22/2057
Fomhalkum,5418053339835757,Michael Stanley,06/12/2042
Cufakev,36289586953603,Harriet Williamson,07/15/1930
Cujofek,6372810654394401,Birdie Hodges,06/12/1944
Dotuwoh,6275828039061444,Alberta Erickson,08/12/2042
Wasbibfo,6011691193469541,Nancy Wade,01/06/1921
Wimatuja,5160950284636595,Elnora Malone,03/02/1964
Mivbola,36565196682439,Amelia Brock,07/28/2068
Cebwocnov,5018473825217407,Tommy Brock,03/26/2023
Hutahheh,6304160832354973,Elnora Greene,06/29/1956
Zokbelwe,30027268972251,Virgie Greer,03/03/1949
Ukijadi,4578275053436467,Josie Schultz,11/15/1968
Zelwowew,5018549225863831,Arthur Chandler,07/23/1931
Utunujis,4024334592755760,Leah Wolfe,04/26/1932
Gembuuwo,6334154545228123,Sally McDaniel,11/15/1903
Tohhaivu,5459462473894183,Antonio Little,03/23/1927
Bijvagibe,6011330756807751,Jorge Coleman,11/22/1966
Soidase,6370964993191820,Ernest Mathis,07/10/1965
Omkataw,341341775581479,Jack Mann,12/29/1973
Nomedub,30043406793491,Ricky French,11/12/2066
Zehmomne,6011495561525672,Belle Jefferson,05/07/2006
Bojgatme,36555557097863,Mabelle Drake,09/11/2011
Tosufjat,6273424141033109,Jacob Lloyd,10/07/1910
Ecmajin,5610884050806650,Steve Garrett,12/12/1929
Ebocilza,201431244630673,Carlos Drake,10/03/2050
Opfivgeg,6334236022659506,Amy Wilson,03/18/1971
Katusadu,5018212148994247,Lilly Malone,04/14/2001
Zioslel,201453848235063,Francis Lyons,12/16/1983
Topvofci,5018936774311553,Jesus Diaz,07/18/1966
Kagojfaz,30057284698549,Joel Goodwin,09/23/1940
Wilicaku,4026920387757728,Aaron Lewis,08/05/2044
Adocahow,3528682582790764,Frances Gross,07/18/1962
Mazizatap,6376882834890299,John Ramsey,06/24/1967
Fiodoge,5479435766155336,Ricardo Watson,09/25/1972
Weisweb,4026446357933792,Francis Lane,04/01/1905
Lorojias,5018994183514630,Chester Pratt,02/08/2019
Suavaluk,36584341271097,Elnora Porter,04/19/1983
Zabohec,6011472779144075,Edgar Quinn,12/30/1903
Fujazlib,6334666212272050,Lulu Ortiz,07/16/2067
Nomizuw,36772735691364,Henrietta Oliver,10/24/1927
Doumije,4026616059136940,Sophia Bass,07/03/2010
Luhdofve,5610284505582081,Inez Joseph,08/23/1938
Binojri,6334831630359240,John Lyons,01/22/2058
Renocub,5421845823471923,Earl Allen,10/25/1915
Hissufo,30073046120698,Trevor Watkins,05/09/2027
Giploma,6304494576135441,Anne Williams,09/26/1953
Civmuriz,4773422499232281,Tyler Diaz,12/01/1933
Tanheici,5610800726231990,Derek Erickson,07/27/1912
Jafmito,4481579805263863,Joshua Elliott,11/10/2018
Lasemog,6224005273571998,Allie Cruz,11/09/2054
Iduegni,5018777439896947,Rebecca Steele,12/31/2042
Ursaka,4143856254721108,Vera Watkins,11/24/1901
Pospimec,5018078738725659,Henrietta Logan,01/11/1980
Hihoog,3528047173333640,Mitchell Bowen,01/07/2044
Fonozvem,6304089037205732,Zachary Morrison,05/09/1917
Lagamof,30088413229799,Richard Evans,04/07/2045
Huzbeebi,6304805610807804,Frederick Parks,03/28/2047
Sevesi,36504790803208,Rena Gutierrez,08/14/2070
Rekugho,3528135368588027,Hunter Collier,01/23/2055
Cuhrakcuw,5610197206051679,Carolyn Christensen,04/16/1931
Hirsacsuk,6304341328517683,Virginia Mack,06/17/2015
Lehabagu,5105817261384135,Adele Mathis,06/16/1935
Pibomji,6011413618696974,Elizabeth Foster,03/02/1919
Micvever,4205875502706732,Florence Smith,06/06/1985
Wirmugme,3528448196085599,Elnora Bridges,01/10/2064
Rahcecol,6255342730103053,Gary Peters,06/22/1947
Mafpisan,5610934836778895,Jackson Holloway,11/18/1993
Zopipeh,6011833640287569,Peter Thomas,04/15/1903
Cularar,6334230619397356,Pauline Hicks,12/03/2047
Pobagsot,6011208936801417,Alex Douglas,04/25/1963
Veikwu,3528323441475426,Cordelia Phelps,06/29/1971
Egehezi,345615999027336,Mathilda Ferguson,10/20/1903
Vifazned,5610211747267205,Clyde Phelps,12/26/2033
Cirjepad,30017000350734,Cory Berry,09/17/1966
Futdikfoz,341659084160226,Tony Buchanan,12/02/1978
Beptahfu,5018886997626883,Christian Long,04/28/1907
Fevegfo,5473012313029227,Jessie Phelps,05/07/1978
Jehhieko,4903080636967145,Nettie Lyons,06/28/1974
Giwapap,6334428139069022,Lawrence Jennings,06/01/1923
Powlavvat,4026948118849076,Roxie Newton,01/19/2058
Gopiefo,4655974022358507,Lizzie Gibson,07/31/1976
Bavufzo,201499156946072,Lida Rice,04/19/2017
Dawezu,201484316986887,Sadie Lewis,08/16/1904
Pobnujwa,4903418191064751,Jeremy Barber,09/17/2064
Zerugtif,6304326458976791,Mae Dunn,12/01/1966
Ubivaoba,4261602309575479,Chester Hardy,08/05/1951
Toruzu,342388092928718,George Hernandez,09/01/1927
Sinriciz,4617125840692414,Myrtie Fitzgerald,12/19/2037
Wulajzi,6379684014109483,Douglas Clark,02/06/2066
Fuczufet,5610964925419010,Samuel Price,12/27/2064
